CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,
-7.06053925,-0.564920034,0.829514177,-0.081181257,0.287532465,-1.155132821,-1.135536128,0.468884639,-0.644522538,-0.150476386,-0.008872042,-0.898598152,-2.074525404,0.102234063,-1.39014465,-0.142622172,-0.227636331,0.297644141,0.117711477,0.009789498,0.258310662,-0.207249224,-0.150943014,-0.070823849,-0.149442743,2.495810974,0.351205906,-8.538394164,0.13056977,#DIV/0!,0.145562032,-0.287312603,-3.937807058,-2.184148031,pre
9.74517727,-1.754487646,-0.558164464,-0.348322343,-0.876310302,-1.265328013,-1.895301939,0.378615439,-0.586196376,-0.173847373,-0.119387831,-0.904576213,-2.096951318,0.566136622,-1.380388493,-0.163035615,-0.347809204,-0.017654289,-0.109051671,-0.069229179,-0.021686664,-0.245896647,-0.173941985,-0.10162022,-0.152731094,1.558599147,0.893441634,-5.45049731,-0.199765165,#DIV/0!,0.125087947,-0.292594217,-3.071708602,-1.480807812,pre
7.46083546,0.552556766,0.375234296,0.431603743,1.140533128,-1.22264533,-1.641731559,0.777170276,-0.501403678,-0.176383383,0.075739363,-0.862637557,-2.297106647,0.376909105,-1.069407178,-0.153475777,-0.314015171,-0.177812158,-0.270664216,-0.025057639,-0.109969629,-0.258560872,-0.184126935,-0.080912308,-0.176915995,1.357091726,-0.839850759,-7.68270365,-0.155549546,#DIV/0!,-1.049779219,-0.083392742,-5.917276143,-0.155206577,pre
#DIV/0!,0.07528399,-0.797024707,-0.093116631,-0.1599629,-1.523941162,-2.212554447,0.306412022,-0.768634748,-0.178614871,0.200605863,-0.909683188,-2.300530338,-0.485843876,-1.39795965,-0.188403391,-0.332161061,-0.000424399,-0.079978197,-0.069179816,-0.000652599,-0.243378999,-0.152651342,-0.072084056,-0.150628196,1.054342713,0.491679339,-4.48752761,-0.088459087,#DIV/0!,-0.334054825,-0.416307293,-1.583586603,-1.624307359,pre
#DIV/0!,1.184483892,0.000426285,0.471044316,0.724528328,-1.325586746,-1.419353009,-1.271613464,-0.465855698,-0.181486236,-0.304405535,-0.914387161,-2.608551312,0.321351276,-1.094665754,0.170339027,-0.110285085,0.114891543,-0.009150097,0.018352203,0.155002896,-0.15346633,-0.138089457,0.003758299,-0.131380743,1.110806949,-0.056187579,-3.039100934,0.017838372,#DIV/0!,0.250547869,0.149720681,-6.939811184,-0.550034445,pre
7.46083546,0.158552205,0.673708329,0.549913473,1.731095139,-0.754478578,-0.361860899,0.662369397,-0.226398987,-0.178845661,-0.138746433,-0.9771823,-2.842268894,-0.877528852,-1.156032805,-0.173147001,-0.302330103,0.036887246,-0.054910206,-0.120217334,0.114179238,-0.233925959,-0.156887325,-0.045869567,-0.154595729,0.853735497,-0.035094249,-5.830761673,-0.182288764,#DIV/0!,-0.196644763,0.034208316,-1.105725258,0.02854839,pre
-7.06053925,-1.450867,-0.969184939,-0.228978055,-0.287020709,-1.841556216,-2.991647526,-1.964284003,-0.861898613,-0.185735326,-0.187445767,-0.985646529,-2.750787304,-0.55049351,-1.313794286,-0.401399026,-0.530062688,0.011408091,-0.247764375,-0.2087399,0.06821025,-0.245114276,-0.155550841,-0.081445123,-0.135888024,1.846507867,0.799789007,-6.534688881,-0.375918541,#DIV/0!,-0.784661469,-0.571164151,-6.361298205,-1.449377931,pre
10.1285472,0.680049031,1.183998106,0.097479783,0.073643875,-1.120487879,-1.127049047,-0.432685673,-0.345493242,-0.146657382,-0.224381001,-0.920852541,-2.688222052,-0.897419977,-1.099183535,0.098018055,-0.155141293,0.059887067,-0.022893117,0.049266504,0.081541251,-0.088160138,-0.101517109,-0.025650474,-0.129782136,-0.124930064,0.004381587,-6.572223545,-0.228743339,#DIV/0!,0.230682352,-0.171741835,-0.979168895,-1.638170851,pre
#DIV/0!,0.168031074,0.926521867,0.217586689,0.030750477,-1.02746532,-1.474169449,1.445850954,-0.351868232,-0.100716426,-0.064641069,-0.873845852,-2.575718951,0.107096666,-0.926475707,-0.137000614,-0.21342832,-0.177390693,-0.203914332,-0.065257747,-0.132303573,-0.215372355,-0.081930738,-0.031545845,-0.101318883,2.031655522,-0.136802438,-3.459505795,0.129335087,#DIV/0!,0.522393657,-0.311932337,-1.955890656,-0.186462698,pre
#DIV/0!,-0.295361879,-0.255153927,0.348994277,1.007193739,-1.454370907,-1.7185185,-0.706362909,-0.602462295,-0.105182507,-0.150705169,-0.899977427,-2.616154147,-0.97736179,-0.974635678,-0.166877713,-0.206901391,-0.015117509,-0.039850861,0.035050609,0.164016729,-0.114065879,-0.035207913,-0.086082244,-0.098662466,1.112334372,0.376706284,-6.337179946,-0.325045241,#DIV/0!,-0.768634747,-0.200530661,-4.642269273,-1.269584911,pre
