CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34
-0.716626235,-0.965000388,-0.19645138,-0.308426565,-0.731057439,-0.252677954,-0.262205749,0.873033348,-0.54638742,-0.230568476,-0.056482075,-0.301543623,-0.146402383,-0.043007852,-0.150528886,-0.362597003,-0.321220002,-0.117726329,-0.80607689,-0.604105296,-0.171837474,-0.284333577,-0.217599515,-0.19536301,-0.281102066,0.365392827,1.452540446,-0.106634953,-0.179080956,-0.361970283,-0.305515551,-1.799490069,#DIV/0!,-0.172012729
-0.721684927,-0.45752088,-0.210531726,-0.293194224,-0.282084641,-0.222732623,0.057799958,0.570462115,-0.437385726,-0.255997871,-0.141429439,-0.294431686,-0.149105099,-0.170903478,-0.142728673,-0.369974608,-0.326461768,-0.054090031,-0.794240236,0.978986514,0.052593089,-0.226128354,-0.048448726,-0.15306825,-0.204769239,0.346116113,0.446569391,-0.220316544,-0.18722224,-0.317199824,-0.407832968,2.712569516,#DIV/0!,-0.116362013
-0.717057456,1.57621702,-0.224840187,0.274394774,1.002070828,-0.218406001,0.08669791,1.326918601,-0.368359734,-0.250141109,-0.168085407,-0.247187943,-0.100470633,-0.078228142,-0.122676451,-0.358113486,-0.317922566,-0.066355163,-0.814137309,-0.63003568,-0.048087902,-0.292929246,-0.193673846,-0.296375178,-0.364334676,0.357157353,1.044636034,-0.092237495,-0.166910825,-0.317199824,-0.485779063,-0.886547344,#DIV/0!,-0.393981368
-0.668175722,-1.411352441,-0.200876726,-0.198235035,-0.212769222,-0.204470963,0.069609723,0.469829376,-0.270869085,-0.223046882,-0.010553399,-0.187816456,-0.06243744,-0.078376383,-0.077832846,-0.317832352,-0.234937021,-0.098739562,-0.75022652,0.633601673,-0.116147719,-0.387188382,-0.349222506,-0.204900758,-0.315084499,0.375492359,0.995744922,-0.099876167,-0.164978907,-0.280847595,0.030711696,-0.175909562,-21.62599564,-0.187171105
-0.580030453,0.100419186,-0.201543702,-0.200608451,-0.048110856,-0.219604877,0.073121714,0.869306595,-0.271336749,-0.201823399,0.070398055,-0.163104019,-0.090522758,-0.039490907,-0.076569333,-0.277796015,-0.167319205,-0.002005861,-0.680889941,-0.474134183,0.020438014,-0.19337107,-0.031059065,-0.083322116,-0.18599588,0.395195473,1.244116199,-0.085945229,-0.174710888,-0.273368249,0.160311919,0.366755108,-21.62599564,-0.142799139
-0.537101781,0.57737339,-0.184611864,-0.169356506,0.155239198,-0.223032737,0.236639838,1.192514404,-0.237753763,-0.201385479,0.02594931,-0.155639531,-0.081028983,-0.041796624,-0.051442479,-0.270438643,-0.137492235,0.032603356,-0.6206176,-0.479771817,0.066824877,-0.246951345,-0.16170025,-0.163317016,-0.282543418,0.380667728,0.816261777,-0.189277005,-0.179745806,-0.302589299,0.40911286,-0.60282235,-21.62599564,-0.134315992
-0.48334416,-0.648276946,-0.098035423,-0.140505816,-0.41065695,-0.392327951,-0.057434718,0.609092903,-0.307349011,-0.187813749,-0.169074678,-0.152374764,0.016474136,-0.115873061,-0.002084472,-0.259570963,-0.16343705,-0.013885589,-0.474401482,-0.426616314,-0.085065594,-0.292883281,-0.277251071,-0.171395422,-0.339667332,0.274283677,0.940030997,-0.128860086,-0.20030645,-0.435430814,1.24702031,0.443586844,#DIV/0!,-0.467109067
-0.397801149,0.480410458,-0.060910682,-0.074355926,0.407894268,-0.37268986,-0.074483974,1.097616186,-0.325496932,-0.134886919,-0.300877821,-0.107725027,-0.081669444,-0.122187328,-0.010985546,-0.235493353,-0.11132523,0.036476618,-0.430380466,-0.358864152,0.075995979,-0.191895273,-0.092980636,-0.11981786,-0.290842607,0.326357055,1.045201042,-0.140854634,-0.197450005,-0.413507497,1.674750744,-0.589446823,#DIV/0!,-0.505503886
-0.356449389,1.612216429,-0.092813415,0.09270882,0.819503263,-0.192242558,0.048527676,0.684856167,-0.244992558,-0.187062783,0.079787242,-0.052898448,-0.058244491,0.125185175,-0.027178679,-0.19847644,-0.055221213,0.023591053,-0.584332841,1.997064932,0.006265085,-0.262350784,-0.195542942,-0.017606715,-0.095619727,0.416513949,1.020055712,-0.043980124,-0.159831495,-0.136394931,1.455390793,-0.302861475,#DIV/0!,-0.145694199
-0.325680311,-0.615453028,-0.084960732,0.145242266,0.376824684,-0.169805502,-0.114525532,1.153473912,-0.265206289,-0.161683895,0.257474897,-0.027934542,-0.021479736,-0.014260012,-0.039219294,-0.254990984,-0.024674223,0.085731818,-0.61790588,0.783071959,0.000213441,-0.283969821,-0.23194721,-0.097976089,-0.150679644,0.392921701,0.917759924,-0.048740413,-0.15412177,0.041890009,1.248547976,1.327692025,#DIV/0!,-0.343885727
-0.372696807,-2.135218882,-0.132339811,-0.22778668,-0.549074509,-0.128305077,0.052455525,0.503674679,-0.160398147,-0.172896929,-0.185506546,0.00966544,-0.062839719,-0.031034014,-0.013944758,-0.224785307,-0.021622895,0.034136477,-0.651374083,-0.444148281,-0.080823549,-0.322573582,-0.265627201,-0.139518542,-0.180846081,0.393674377,0.591954452,-0.183496879,-0.148498969,0.08149666,1.488888917,-3.740330576,-21.62599564,-0.229541363
