CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,
-0.72930948,-0.490920678,0.184015474,0.306422311,0.708650069,0.153975574,0.149068488,-0.065163736,0.054668746,-0.069468668,-0.032892513,-0.005656843,-0.022140689,0.197737211,-0.080686064,-0.062159785,1.13069064,0.003898877,-0.201668141,0.352304598,-0.185096265,-0.191721695,-0.242206741,-0.046303046,-0.007752636,-0.803642888,0.480278319,-0.552396445,#DIV/0!,#DIV/0!,-0.115914025,-0.0618361,-1.69788272,-1.967438693,pre
-0.72930948,-0.05839336,0.272547725,0.032929423,0.572510755,0.179159133,0.151850779,-0.074166252,0.08940997,-0.07004424,-0.056455598,0.01619867,0.101849521,0.238892067,-0.028544749,-0.048125619,0.894929958,0.040895319,-0.422227799,0.388939841,-0.108261269,-0.184848174,-0.217820848,-0.053777946,0.012052394,-1.017632197,1.591291701,0.593362453,#DIV/0!,#DIV/0!,-0.657385717,0.260737124,0.631311274,0.973413986,pre
-0.220626688,-1.619726387,0.113120733,0.165166659,0.141487213,0.128403554,0.117877976,-0.086880384,0.070621836,-0.075303688,-0.036547798,0.000147012,0.027459156,-0.092971733,-0.061816326,-0.144258504,0.410342961,-0.035666434,-0.716878661,0.485656042,-0.208863869,-0.182055885,-0.223661437,-0.029311418,0.004490788,-0.959537596,1.144422604,-0.852168089,#DIV/0!,#DIV/0!,-0.226261308,0.360863579,-0.908755143,-0.676220115,pre
0.466160482,1.1809657,-0.013172737,0.32684467,0.852398874,0.242656721,0.166275295,-0.085803707,0.129532693,-0.079434889,-0.062376407,-0.010055126,0.032586552,-0.25745263,-0.066580063,-0.178188628,-0.474040087,-0.055761495,-0.683699809,0.879000606,-0.236284816,-0.191973086,-0.210513062,-0.051199402,0.006841329,-1.236703772,1.219953805,-0.995125884,#DIV/0!,#DIV/0!,0.154755169,0.408865409,-3.072927595,-0.11077725,pre
3.313254954,1.077109546,-0.14860365,0.236627279,0.41755222,0.110436248,0.10550257,-0.079085454,0.045003273,-0.0838818,-0.034420115,-0.010726617,0.030576206,0.143568473,-0.067193706,-0.092371525,0.314530324,-0.015500382,-0.131707669,-0.047032856,-0.20777225,-0.200079036,-0.234721788,-0.047638073,0.004805122,-1.093044272,1.714683884,-0.615366013,#DIV/0!,#DIV/0!,-0.787546817,-0.324571835,-4.235596417,-0.723727281,pre
-1.603836639,-1.362619203,0.103984877,0.393502229,1.211263788,0.187089422,0.129334526,-0.083652325,0.091925174,-0.08591483,-0.093362398,-0.006164257,0.020966741,0.102423584,-0.050862559,-0.113444269,-0.486090806,0.016761097,0.291484713,0.997014728,-0.132980289,-0.185462851,-0.216945374,-0.034995139,0.003446121,-0.71511043,0.765933945,-0.826440857,#DIV/0!,#DIV/0!,-0.275881208,0.443648988,-2.874617378,-1.079770498,pre
-4.48242998,1.606980351,0.106517784,0.205912608,0.590895042,0.159263527,0.13236648,-0.086951488,0.112923415,-0.087647535,-0.051136949,-0.025371126,-0.042752916,0.06221388,-0.114533871,-0.046945854,0.122043883,-0.022940013,-0.800577713,0.043936248,-0.202255854,-0.200047871,-0.256158093,-0.044871057,-0.014599032,-1.393463084,-0.005555857,0.146715111,#DIV/0!,#DIV/0!,0.432848352,-0.073134576,2.604319038,-0.333359012,pre
-5.294770741,2.948676373,0.057021263,0.219208767,1.173922457,0.125170431,0.113761198,-0.079298907,0.070091301,-0.086541277,-0.076686627,-0.011573403,0.072543884,-0.184270055,-0.056156077,-0.088892589,0.217379843,0.049909122,-0.446145559,0.580805248,-0.110594527,-0.220388953,-0.259964413,-0.059039312,-0.00323313,-1.971490515,1.298764172,-1.165547568,#DIV/0!,#DIV/0!,0.446255425,0.512800607,-0.58590946,-0.602052257,pre
-2.182762113,-1.567319553,0.311959986,0.23217117,0.666515296,0.185030073,0.110417285,-0.065487467,0.062751762,-0.090685835,-0.042943189,-0.012590701,-0.002810591,-0.156816872,-0.042860673,-0.100451319,0.399761068,-0.00170908,-1.203552681,-0.4367466,-0.174156308,-0.19572281,-0.245075105,-0.045337184,-0.010899235,-0.950965111,0.223786668,-0.714254807,#DIV/0!,#DIV/0!,2.80373315,0.063872267,2.267227175,-0.492674134,pre
-2.121055188,-0.38175823,0.246941861,0.12485157,0.829307267,0.043254711,0.047937366,-0.074670179,-0.008640539,-0.1006117,-0.056887139,-0.023640712,0.004799168,0.190016758,-0.078871212,-0.116601084,0.783277613,-0.03187794,-0.300086053,0.342259868,-0.188451904,-0.201769091,-0.225452871,-0.052994019,-0.021464625,-0.974979423,0.475961314,-0.899109395,#DIV/0!,#DIV/0!,0.115024159,0.144421439,-2.988595964,-0.052353503,pre
-0.411382735,0.703891293,0.269498566,0.081923976,0.625441659,0.135007213,0.077792603,-0.104549195,0.040961514,-0.10281549,-0.065850373,-0.028364279,0.042316541,0.172633334,-0.092556145,-0.101697659,0.635486328,0.041871821,-0.112530705,0.649219585,-0.120973274,-0.19144698,-0.233720476,-0.043723287,-0.010322337,-0.75176234,0.738749578,-0.970936898,#DIV/0!,#DIV/0!,0.203312246,-0.07405784,-1.29648607,1.949207234,pre
